No errors
No warnings
1125 ms
data source=metars
4898 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KTBN 211458Z 32009KT 10SM FEW010 BKN019 BKN040 03/00 RMK SLPNO 5////,KTBN,2018-03-21T14:58:00Z,37.72,-92.12,3.0,0.0,320,9,,10.0,,,,,,,,,,,,FEW,1000,BKN,1900,BKN,4000,,,MVFR,,,,,,,,,,,,METAR,353.0
KHUA 211458Z AUTO 35014G21KT 10SM FEW085 05/M02 A3000 RMK AO2 SLP163 T00511024 52022,KHUA,2018-03-21T14:58:00Z,34.68,-86.68,5.1,-2.4,350,14,21,10.0,30.0,1016.3,,TRUE,TRUE,,,,,,,FEW,8500,,,,,,,VFR,2.2,,,,,,,,,,,METAR,209.0
KHLR 211458Z AUTO 15006KT 10SM CLR 14/02 A3018 RMK AO2 SLP216 T01440022 52028,KHLR,2018-03-21T14:58:00Z,31.13,-97.72,14.4,2.2,150,6,,10.0,30.180119,1021.6,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,2.8,,,,,,,,,,,METAR,283.0
KGRK 211458Z AUTO 13008KT 10SM CLR 14/02 A3020 RMK AO2 SLPNO T01390017 52025,KGRK,2018-03-21T14:58:00Z,31.07,-97.83,13.9,1.7,130,8,,10.0,30.200787,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,2.5,,,,,,,,,,,METAR,309.0
KT70 211458Z AUTO 18014KT 10SM CLR 17/08 A3009 RMK AO2 SLP183 T01730078 52016,KT70,2018-03-21T14:58:00Z,29.12,-100.48,17.3,7.8,180,14,,10.0,30.088583,1018.3,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,1.6,,,,,,,,,,,METAR,298.0
KSXS 211458Z AUTO 33011G17KT 9SM CLR 11/00 A3004 RMK AO2 SLP174 T01090002 52018,KSXS,2018-03-21T14:58:00Z,31.37,-85.85,10.9,0.2,330,11,17,9.0,30.041338,1017.4,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,1.8,,,,,,,,,,,METAR,122.0
KLOR 211458Z AUTO 28013G25KT 10SM CLR 11/00 A3004 RMK AO2 SLP156 T01130004 52019,KLOR,2018-03-21T14:58:00Z,31.35,-85.75,11.3,0.4,280,13,25,10.0,30.041338,1015.6,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,1.9,,,,,,,,,,,METAR,74.0
KAMN 211458Z AUTO 03012G17KT 10SM CLR 00/M07 A3003 RMK AO2 T00021066,KAMN,2018-03-21T14:58:00Z,43.32,-84.68,0.2,-6.6,30,12,17,10.0,30.029528,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,230.0
CYXS 211457Z AUTO 35004KT 5/8SM VV003 M01/ A2973 RMK VIS VRB 1/4-3 TD MISG SLP098,CYXS,2018-03-21T14:57:00Z,53.9,-122.68,-1.0,,350,4,,0.63,29.731298,1009.8,,TRUE,,,,,,,,OVX,0,,,,,,,LIFR,,,,,,,,,,,300,SPECI,691.0
CYQZ 211457Z AUTO 00000KT 1 1/2SM -SN -UP BKN014 OVC019 00/00 A2973 RMK SLP092,CYQZ,2018-03-21T14:57:00Z,53.02,-122.52,0.0,0.0,0,0,,1.5,29.731298,1009.2,,TRUE,,,,,,,-SN UP,BKN,1400,OVC,1900,,,,,IFR,,,,,,,,,,,,SPECI,545.0
