No errors
No warnings
519 ms
data source=metars
4718 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
PAJZ 232126Z AUTO 34009KT 7SM -SN SCT028 BKN035 OVC050 00/M03 A3008 RMK AO2 UPB19E26SNE10B26 P0000 FZRANO $,PAJZ,2018-03-23T21:26:00Z,59.73,-157.27,0.0,-3.0,340,9,,7.0,30.079725,,,TRUE,TRUE,TRUE,,,TRUE,,-SN,SCT,2800,BKN,3500,OVC,5000,,,VFR,,,,,,0.005,,,,,,SPECI,82.0
PABA 232126Z 08019KT 2SM BR CLR M21/M23 A3037 RMK AO2 FZRANO,PABA,2018-03-23T21:26:00Z,70.13,-143.58,-21.0,-23.0,80,19,,2.0,30.369095,,,,TRUE,,,,TRUE,,BR,CLR,,,,,,,,IFR,,,,,,,,,,,,SPECI,2.0
CYNM 232126Z AUTO 33022G28KT 9SM -SN CLR M08/M14 A3031 RMK ICG SLP289,CYNM,2018-03-23T21:26:00Z,49.77,-77.82,-8.0,-14.0,330,22,28,9.0,30.31004,1028.9,,TRUE,,,,,,,-SN,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,281.0
YBWP 232126Z AUTO 05013G23KT //// // SCT009 BKN014 BKN027 25/23 Q1002,YBWP,2018-03-23T21:26:00Z,-12.68,141.92,25.0,23.0,50,13,23,,29.586615,,,TRUE,,,,,,,,SCT,900,BKN,1400,BKN,2700,,,,,,,,,,,,,,,SPECI,12.0
KSPB 232125Z AUTO 17006KT 4SM -RA BR SCT021 BKN029 OVC036 05/03 A2988 RMK AO2 RAE2054B15 P0000 T00500033,KSPB,2018-03-23T21:25:00Z,45.77,-122.87,5.0,3.3,170,6,,4.0,29.878937,,,TRUE,TRUE,,,,,,-RA BR,SCT,2100,BKN,2900,OVC,3600,,,MVFR,,,,,,0.005,,,,,,SPECI,14.0
EHEH 232125Z AUTO 16006KT 130V210 9999 SCT018 OVC022 06/03 Q1002 WHT 19010KT 9999 BKN015,EHEH,2018-03-23T21:25:00Z,51.45,5.38,6.0,3.0,160,6,,6.21,29.586615,,,TRUE,,,,,,,,SCT,1800,OVC,2200,BKN,1500,,,MVFR,,,,,,,,,,,,SPECI,22.0
EHRD 232125Z AUTO 16008KT 9999 BKN015 06/04 Q1001 NOSIG,EHRD,2018-03-23T21:25:00Z,51.95,4.45,6.0,4.0,160,8,,6.21,29.557087,,,TRUE,,,TRUE,,,,,BKN,1500,,,,,,,MVFR,,,,,,,,,,,,METAR,-5.0
EHGG 232125Z AUTO 17006KT 140V200 7000 FEW007 SCT008 BKN018 05/04 Q1002 TEMPO BKN012,EHGG,2018-03-23T21:25:00Z,53.12,6.57,5.0,4.0,170,6,,4.35,29.586615,,,TRUE,,,,,,,,FEW,700,SCT,800,BKN,1800,,,MVFR,,,,,,,,,,,,SPECI,4.0
EHBK 232125Z AUTO 17007KT 9999 OVC024 05/02 Q1003 NOSIG,EHBK,2018-03-23T21:25:00Z,50.92,5.77,5.0,2.0,170,7,,6.21,29.616142,,,TRUE,,,TRUE,,,,,OVC,2400,,,,,,,MVFR,,,,,,,,,,,,METAR,116.0
EHAM 232125Z 15008KT 9999 BKN021 06/04 Q1001 NOSIG,EHAM,2018-03-23T21:25:00Z,52.32,4.78,6.0,4.0,150,8,,6.21,29.557087,,,,,,TRUE,,,,,BKN,2100,,,,,,,MVFR,,,,,,,,,,,,METAR,9.0
CWCA 232125Z 01014G28KT 15SM BKN015 OVC070 M02/M05 A2995 RMK SC6AS2 SLP144,CWCA,2018-03-23T21:25:00Z,53.7,-57.02,-2.0,-5.0,10,14,28,15.0,29.949802,1014.4,,,,,,,,,,BKN,1500,OVC,7000,,,,,MVFR,,,,,,,,,,,,SPECI,14.0
EHWO 232125Z AUTO 17003KT 130V200 9999 OVC016 07/04 Q1001 WHT,EHWO,2018-03-23T21:25:00Z,51.45,4.32,7.0,4.0,170,3,,6.21,29.557087,,,TRUE,,,,,,,,OVC,1600,,,,,,,MVFR,,,,,,,,,,,,METAR,17.0
EHVL 232125Z AUTO 15011KT 6000 BR OVC018 05/04 Q1000 WHT,EHVL,2018-03-23T21:25:00Z,53.23,4.92,5.0,4.0,150,11,,3.73,29.52756,,,TRUE,,,,,,,BR,OVC,1800,,,,,,,MVFR,,,,,,,,,,,,METAR,5.0
EHVK 232125Z AUTO 15009KT 9999 OVC034 06/03 Q1002 BLU,EHVK,2018-03-23T21:25:00Z,51.63,5.7,6.0,3.0,150,9,,6.21,29.586615,,,TRUE,,,,,,,,OVC,3400,,,,,,,VFR,,,,,,,,,,,,METAR,21.0
EHLW 232125Z AUTO 17007KT 140V210 2900 R23/P3000U BR SCT005 BKN006 BKN015 05/04 Q1002 YLO,EHLW,2018-03-23T21:25:00Z,53.22,5.75,5.0,4.0,170,7,,1.8,29.586615,,,TRUE,,,,,,,BR,SCT,500,BKN,600,BKN,1500,,,IFR,,,,,,,,,,,,SPECI,2.0
EHGR 232125Z AUTO 17008KT 140V220 9999 OVC022 06/03 Q1002 WHT,EHGR,2018-03-23T21:25:00Z,51.57,4.92,6.0,3.0,170,8,,6.21,29.586615,,,TRUE,,,,,,,,OVC,2200,,,,,,,MVFR,,,,,,,,,,,,METAR,13.0
EHDL 232125Z AUTO 16005KT 110V200 9999 BKN018 OVC033 06/03 Q1002 WHT,EHDL,2018-03-23T21:25:00Z,52.07,5.87,6.0,3.0,160,5,,6.21,29.586615,,,TRUE,,,,,,,,BKN,1800,OVC,3300,,,,,MVFR,,,,,,,,,,,,METAR,52.0
CYCS 232125Z 19019G27KT 15SM DRSN BKN085 BKN280 M17/M21 A3038 RMK AC5CI2 PRESFR SLP291,CYCS,2018-03-23T21:25:00Z,63.35,-90.72,-17.0,-21.0,190,19,27,15.0,30.380905,1029.1,,,,,,,,,DRSN,BKN,8500,BKN,28000,,,,,VFR,,,,,,,,,,,,SPECI,11.0
CYPY 232125Z AUTO 13007G15KT 2 1/2SM -SN SCT009 BKN015 OVC021 M02/M03 A2980 RMK VIS VRB 1 1/2-3 SLP111,CYPY,2018-03-23T21:25:00Z,58.77,-111.12,-2.0,-3.0,130,7,15,2.5,29.799213,1011.1,,TRUE,,,,,,,-SN,SCT,900,BKN,1500,OVC,2100,,,IFR,,,,,,,,,,,,SPECI,232.0
EHKD 232125Z AUTO 16009KT 9000 BR OVC019 06/04 Q1001 WHT,EHKD,2018-03-23T21:25:00Z,52.92,4.77,6.0,4.0,160,9,,5.59,29.557087,,,TRUE,,,,,,,BR,OVC,1900,,,,,,,MVFR,,,,,,,,,,,,METAR,14.0
CYPW 232124Z 12015G23KT 15SM FEW020 FEW047 BKN062TCU BKN150 06/02 A2975 RMK CF1SC2TCU3AC2 CF TR TCU E-S SLP079,CYPW,2018-03-23T21:24:00Z,49.82,-124.5,6.0,2.0,120,15,23,15.0,29.749016,1007.9,,,,,,,,,,FEW,2000,FEW,4700,BKN,6200,BKN,15000,VFR,,,,,,,,,,,,SPECI,130.0
KVEL 232124Z AUTO 34018G22KT 8SM RA FEW033 BKN041 OVC065 10/04 A2995 RMK AO2 RAB10 PRESRR P0002 T01000044,KVEL,2018-03-23T21:24:00Z,40.45,-109.52,10.0,4.4,340,18,22,8.0,29.949802,,,TRUE,TRUE,,,,,,RA,FEW,3300,BKN,4100,OVC,6500,,,VFR,,,,,,0.02,,,,,,SPECI,1604.0
KHQM 232124Z AUTO 10010KT 10SM FEW016 BKN070 OVC085 07/04 A2982 RMK AO2 RAE19 P0001 T00670044,KHQM,2018-03-23T21:24:00Z,46.97,-123.93,6.7,4.4,100,10,,10.0,29.819881,,,TRUE,TRUE,,,,,,,FEW,1600,BKN,7000,OVC,8500,,,VFR,,,,,,0.01,,,,,,SPECI,7.0
KHIO 232124Z 18013KT 8SM -RA SCT013 BKN022 OVC035 06/03 A2987 RMK AO2 P0001 T00560033,KHIO,2018-03-23T21:24:00Z,45.55,-122.95,5.6,3.3,180,13,,8.0,29.870079,,,,TRUE,,,,,,-RA,SCT,1300,BKN,2200,OVC,3500,,,MVFR,,,,,,0.01,,,,,,SPECI,68.0
KFTW 232124Z 17021G30KT 10SM OVC029 24/17 A2990 RMK AO2 PK WND 17030/2123 T02390172,KFTW,2018-03-23T21:24:00Z,32.83,-97.37,23.9,17.2,170,21,30,10.0,29.899607,,,,TRUE,,,,,,,OVC,2900,,,,,,,MVFR,,,,,,,,,,,,SPECI,214.0
CYAY 232124Z AUTO 01027G38KT 3/8SM SN OVC009 M02/M03 A2969 RMK ICG SLP059,CYAY,2018-03-23T21:24:00Z,51.38,-56.07,-2.0,-3.0,10,27,38,0.38,29.68996,1005.9,,TRUE,,,,,,,SN,OVC,900,,,,,,,LIFR,,,,,,,,,,,,SPECI,28.0
CYPD 232124Z AUTO 30012G19KT 260V330 1 3/4SM -SN OVC004 M01/M02 A2969 RMK SLP060,CYPD,2018-03-23T21:24:00Z,45.67,-61.37,-1.0,-2.0,300,12,19,1.75,29.68996,1006.0,,TRUE,,,,,,,-SN,OVC,400,,,,,,,LIFR,,,,,,,,,,,,SPECI,114.0
KEVM 232123Z AUTO 10010G18KT 070V140 10SM CLR 01/M12 A3034 RMK AO2,KEVM,2018-03-23T21:23:00Z,47.42,-92.5,1.0,-12.0,100,10,18,10.0,30.339567,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,421.0
PHNG 232123Z AUTO 11008KT 10SM SCT018 BKN028 OVC100 24/21 A3004 RMK AO2 T02440206 $,PHNG,2018-03-23T21:23:00Z,21.43,-157.77,24.4,20.6,110,8,,10.0,30.041338,,,TRUE,TRUE,TRUE,,,,,,SCT,1800,BKN,2800,OVC,10000,,,MVFR,,,,,,,,,,,,SPECI,3.0
KMHS 232123Z AUTO VRB05KT 2SM -SN BR FEW007 SCT015 OVC028 02/01 A2996 RMK AO2 P0002 T00220011,KMHS,2018-03-23T21:23:00Z,41.32,-122.32,2.2,1.1,0,5,,2.0,29.958662,,,TRUE,TRUE,,,,,,-SN BR,FEW,700,SCT,1500,OVC,2800,,,IFR,,,,,,0.02,,,,,,METAR,1078.0
CYQV 232123Z AUTO 12021G27KT 9SM -RASN BKN036 OVC046 M00/M05 A3009 RMK SLP219,CYQV,2018-03-23T21:23:00Z,51.27,-102.47,0.0,-5.0,120,21,27,9.0,30.088583,1021.9,,TRUE,,,,,,,-RA -SN,BKN,3600,OVC,4600,,,,,VFR,,,,,,,,,,,,SPECI,498.0
YLIS 232123Z AUTO 00000KT 9999 // BKN005 21/19 Q1019,YLIS,2018-03-23T21:23:00Z,-28.83,153.27,21.0,19.0,0,0,,6.21,30.088583,,,TRUE,,,,,,,,BKN,500,,,,,,,IFR,,,,,,,,,,,,SPECI,11.0
CYAZ 232122Z 09011G18KT 10SM -SHRA FEW006 BKN012 OVC025TCU 03/02 A2974 RMK CF1CF5TCU2 VRY LGT SHRA SLP072,CYAZ,2018-03-23T21:22:00Z,49.08,-125.77,3.0,2.0,90,11,18,10.0,29.740158,1007.2,,,,,,,,,-SHRA,FEW,600,BKN,1200,OVC,2500,,,MVFR,,,,,,,,,,,,SPECI,24.0
KMLF 232122Z AUTO 20016G27KT 10SM FEW075 16/M03 A3002 RMK AO2 PK WND 19027/2121 WSHFT 2108 T01611028,KMLF,2018-03-23T21:22:00Z,38.42,-113.02,16.1,-2.8,200,16,27,10.0,30.02067,,,TRUE,TRUE,,,,,,,FEW,7500,,,,,,,VFR,,,,,,,,,,,,METAR,1534.0
KISN 232122Z AUTO 12008KT 5SM -SN BR BKN010 BKN013 OVC020 01/M01 A2985 RMK AO2 CIG 007V011 P0001 T00111006,KISN,2018-03-23T21:22:00Z,48.17,-103.63,1.1,-0.6,120,8,,5.0,29.84941,,,TRUE,TRUE,,,,,,-SN BR,BKN,1000,BKN,1300,OVC,2000,,,MVFR,,,,,,0.01,,,,,,SPECI,579.0
KBZN 232122Z 08004KT 10SM SCT055 BKN075 BKN090 11/M01 A2981 RMK AO2 T01061006,KBZN,2018-03-23T21:22:00Z,45.78,-111.17,10.6,-0.6,80,4,,10.0,29.811024,,,,TRUE,,,,,,,SCT,5500,BKN,7500,BKN,9000,,,VFR,,,,,,,,,,,,SPECI,1361.0
CYPE 232122Z 22015KT 15SM DRSN FEW038 SCT070 BKN210 M08/M12 A2969 RMK SC1AC3CI4 SC TR SLP092,CYPE,2018-03-23T21:22:00Z,56.22,-117.45,-8.0,-12.0,220,15,,15.0,29.68996,1009.2,,,,,,,,,DRSN,FEW,3800,SCT,7000,BKN,21000,,,VFR,,,,,,,,,,,,SPECI,571.0
KCVO 232122Z AUTO 18008KT 10SM FEW010 BKN018 OVC100 05/03 A2989 RMK AO2,KCVO,2018-03-23T21:22:00Z,44.5,-123.27,5.0,3.0,180,8,,10.0,29.890747,,,TRUE,TRUE,,,,,,,FEW,1000,BKN,1800,OVC,10000,,,MVFR,,,,,,,,,,,,METAR,75.0
CYMH 232122Z AUTO 01014G29KT 2 1/2SM -SN BKN013 BKN018 OVC026 M02/M03 A2981 RMK VIS VRB 1 3/4-3 SLP098,CYMH,2018-03-23T21:22:00Z,52.28,-55.85,-2.0,-3.0,10,14,29,2.5,29.811024,1009.8,,TRUE,,,,,,,-SN,BKN,1300,BKN,1800,OVC,2600,,,IFR,,,,,,,,,,,,SPECI,11.0
KLBX 232121Z AUTO 17022G27KT 10SM BKN028 OVC035 25/17 A3009 RMK AO2 PK WND 17027/2121 T02500167,KLBX,2018-03-23T21:21:00Z,29.12,-95.47,25.0,16.7,170,22,27,10.0,30.088583,,,TRUE,TRUE,,,,,,,BKN,2800,OVC,3500,,,,,MVFR,,,,,,,,,,,,METAR,6.0
CYXX 232121Z 07008KT 15SM FEW010 BKN025 OVC040 06/03 A2981 RMK SF2CU3SC3 SLP099,CYXX,2018-03-23T21:21:00Z,49.03,-122.38,6.0,3.0,70,8,,15.0,29.811024,1009.9,,,,,,,,,,FEW,1000,BKN,2500,OVC,4000,,,MVFR,,,,,,,,,,,,SPECI,58.0
KPRX 232121Z AUTO 18019G24KT 10SM SCT025 OVC032 21/16 A2996 RMK AO2 PK WND 18026/2059,KPRX,2018-03-23T21:21:00Z,33.62,-95.45,21.0,16.0,180,19,24,10.0,29.958662,,,TRUE,TRUE,,,,,,,SCT,2500,OVC,3200,,,,,VFR,,,,,,,,,,,,METAR,167.0
CYMO 232121Z AUTO 34014G22KT 9SM -SN CLR M10/M15 A3061 RMK SLP366,CYMO,2018-03-23T21:21:00Z,51.28,-80.62,-10.0,-15.0,340,14,22,9.0,30.611221,1036.6,,TRUE,,,,,,,-SN,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,10.0
KDVP 232121Z AUTO 10016G24KT 10SM SCT027 BKN120 02/M02 A3004 RMK AO2 T00201016,KDVP,2018-03-23T21:21:00Z,43.98,-95.78,2.0,-1.6,100,16,24,10.0,30.041338,,,TRUE,TRUE,,,,,,,SCT,2700,BKN,12000,,,,,VFR,,,,,,,,,,,,METAR,495.0
YKRY 232121Z AUTO 11006KT 2800 SHRA SCT006 BKN011 BKN017 19/18 Q1019,YKRY,2018-03-23T21:21:00Z,-26.57,151.83,19.0,18.0,110,6,,1.74,30.088583,,,TRUE,,,,,,,SHRA,SCT,600,BKN,1100,BKN,1700,,,IFR,,,,,,,,,,,,SPECI,434.0
YPCC 232121Z AUTO 32025G35KT 6000 -RA SCT019 SCT030 BKN040 27/25 Q1002,YPCC,2018-03-23T21:21:00Z,-12.17,96.82,27.0,25.0,320,25,35,3.73,29.586615,,,TRUE,,,,,,,-RA,SCT,1900,SCT,3000,BKN,4000,,,MVFR,,,,,,,,,,,,SPECI,3.0
ETNN 232120Z 18004KT 9999 BKN027 05/01 Q1003 BLU,ETNN,2018-03-23T21:20:00Z,50.82,6.67,5.0,1.0,180,4,,6.21,29.616142,,,,,,,,,,,BKN,2700,,,,,,,MVFR,,,,,,,,,,,,METAR,135.0
EGHI 232120Z VRB02KT 9000 -RA FEW030 BKN035 06/05 Q0996,EGHI,2018-03-23T21:20:00Z,50.95,-1.35,6.0,5.0,0,2,,5.59,29.409449,,,,,,,,,,-RA,FEW,3000,BKN,3500,,,,,VFR,,,,,,,,,,,,METAR,14.0
ETSN 232120Z 01003KT 9999 FEW025 BKN055 02/00 Q1005 BLU,ETSN,2018-03-23T21:20:00Z,48.72,11.22,2.0,0.0,10,3,,6.21,29.675198,,,,,,,,,,,FEW,2500,BKN,5500,,,,,VFR,,,,,,,,,,,,METAR,387.0
ETSL 232120Z AUTO 10003KT 4900 // ////// 01/M01 Q1004 ///,ETSL,2018-03-23T21:20:00Z,48.17,10.87,1.0,-1.0,100,3,,3.04,29.64567,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,562.0
ETSI 232120Z AUTO 08001KT //// // ////// 02/01 Q1005 ///,ETSI,2018-03-23T21:20:00Z,48.72,11.52,2.0,1.0,80,1,,,29.675198,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,370.0
ETSB 232120Z AUTO 19004KT 3900 // ////// 01/01 Q1002 ///,ETSB,2018-03-23T21:20:00Z,50.17,7.07,1.0,1.0,190,4,,2.42,29.586615,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,486.0
ETSA 232120Z AUTO 09003KT 7000 // ////// 02/M01 Q1004 ///,ETSA,2018-03-23T21:20:00Z,48.07,10.9,2.0,-1.0,90,3,,4.35,29.64567,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,628.0
ETHN 232120Z 12006KT 4000 BR SCT008 BKN052 02/01 Q1004 GRN,ETHN,2018-03-23T21:20:00Z,49.38,9.97,2.0,1.0,120,6,,2.49,29.64567,,,,,,,,,,BR,SCT,800,BKN,5200,,,,,IFR,,,,,,,,,,,,METAR,473.0
ETHL 232120Z 08002KT 9999 FEW045 BKN060 02/00 Q1004 BLU,ETHL,2018-03-23T21:20:00Z,48.22,9.92,2.0,0.0,80,2,,6.21,29.64567,,,,,,,,,,,FEW,4500,BKN,6000,,,,,VFR,,,,,,,,,,,,METAR,549.0
ETHA 232120Z AUTO VRB02KT //// // ////// 00/M01 Q1003 ///,ETHA,2018-03-23T21:20:00Z,47.82,10.87,0.0,-1.0,0,2,,,29.616142,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,760.0
ETWM 232120Z AUTO 20005KT 9999 // ////// 06/02 Q1003 ///,ETWM,2018-03-23T21:20:00Z,52.72,7.33,6.0,2.0,200,5,,6.21,29.616142,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,21.0
ETSH 232120Z VRB01KT 6000 BKN030 02/01 Q1006 WHT,ETSH,2018-03-23T21:20:00Z,51.77,13.17,2.0,1.0,0,1,,3.73,29.704725,,,,,,,,,,,BKN,3000,,,,,,,MVFR,,,,,,,,,,,,METAR,79.0
ETNW 232120Z VRB01KT 9999 SCT032 BKN045 06/04 Q1003 BLU,ETNW,2018-03-23T21:20:00Z,52.45,9.42,6.0,4.0,0,1,,6.21,29.616142,,,,,,,,,,,SCT,3200,BKN,4500,,,,,VFR,,,,,,,,,,,,METAR,70.0
ETNT 232120Z 19004KT 9999 BKN017 05/03 Q1003 WHT,ETNT,2018-03-23T21:20:00Z,53.53,7.67,5.0,3.0,190,4,,6.21,29.616142,,,,,,,,,,,BKN,1700,,,,,,,MVFR,,,,,,,,,,,,METAR,12.0
ETNS 232120Z AUTO 15004KT 3000 // ////// 05/04 Q1003 ///,ETNS,2018-03-23T21:20:00Z,54.47,9.52,5.0,4.0,150,4,,1.86,29.616142,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,25.0
ETNL 232120Z 14004KT 4500 BR BKN002 01/01 Q1005 AMB,ETNL,2018-03-23T21:20:00Z,53.92,12.27,1.0,1.0,140,4,,2.8,29.675198,,,,,,,,,,BR,BKN,200,,,,,,,LIFR,,,,,,,,,,,,SPECI,40.0
ETNH 232120Z VRB02KT 3000 BR FEW009 BKN032 05/04 Q1003 YLO,ETNH,2018-03-23T21:20:00Z,54.32,9.55,5.0,4.0,0,2,,1.86,29.616142,,,,,,,,,,BR,FEW,900,BKN,3200,,,,,IFR,,,,,,,,,,,,METAR,17.0
ETMN 232120Z 17003KT 7000 OVC021 05/04 Q1003 WHT,ETMN,2018-03-23T21:20:00Z,53.77,8.67,5.0,4.0,170,3,,4.35,29.616142,,,,,,,,,,,OVC,2100,,,,,,,MVFR,,,,,,,,,,,,METAR,31.0
ETML 232120Z AUTO 14011KT //// // ////// 02/01 Q1004 ///,ETML,2018-03-23T21:20:00Z,,,2.0,1.0,140,11,,,29.64567,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,
ETHS 232120Z 14004KT 9999 FEW018 BKN044 05/02 Q1004 BLU,ETHS,2018-03-23T21:20:00Z,52.92,10.18,5.0,2.0,140,4,,6.21,29.64567,,,,,,,,,,,FEW,1800,BKN,4400,,,,,VFR,,,,,,,,,,,,METAR,88.0
ETHF 232120Z 17004KT 9999 FEW011 BKN014 05/03 Q1004 GRN,ETHF,2018-03-23T21:20:00Z,51.12,9.27,5.0,3.0,170,4,,6.21,29.64567,,,,,,,,,,,FEW,1100,BKN,1400,,,,,MVFR,,,,,,,,,,,,METAR,181.0
ETHC 232120Z 10005KT 9999 BKN044 06/03 Q1004 BLU,ETHC,2018-03-23T21:20:00Z,52.6,10.02,6.0,3.0,100,5,,6.21,29.64567,,,,,,,,,,,BKN,4400,,,,,,,VFR,,,,,,,,,,,,METAR,52.0
ETHB 232120Z AUTO 26004KT 6000 // ////// 06/04 Q1003 ///,ETHB,2018-03-23T21:20:00Z,52.27,9.07,6.0,4.0,260,4,,3.73,29.616142,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,78.0
ETGG 232120Z 17008KT 4500 BR BKN007 BKN040 04/03 Q1003 GRN,ETGG,2018-03-23T21:20:00Z,54.83,9.5,4.0,3.0,170,8,,2.8,29.616142,,,,,,,,,,BR,BKN,700,BKN,4000,,,,,IFR,,,,,,,,,,,,METAR,33.0
LGRP 232120Z 18002KT 9999 SCT025 15/09 Q1001 NOSIG,LGRP,2018-03-23T21:20:00Z,36.4,28.08,15.0,9.0,180,2,,6.21,29.557087,,,,,,TRUE,,,,,SCT,2500,,,,,,,VFR,,,,,,,,,,,,METAR,5.0
