No errors
No warnings
647 ms
data source=metars
4981 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KUSE 211605Z AUTO 02017G22KT 10SM CLR 03/M10 A2992 RMK AO2,KUSE,2018-03-21T16:05:00Z,41.62,-84.13,3.0,-10.0,20,17,22,10.0,29.920275,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,238.0
CYEV 211603Z 30004KT 15SM PRFG FEW006 BKN015 M24/M27 A3065 RMK ST1SC5 SLP390,CYEV,2018-03-21T16:03:00Z,68.32,-133.5,-24.0,-27.0,300,4,,15.0,30.649607,1039.0,,,,,,,,,PRFG,FEW,600,BKN,1500,,,,,MVFR,,,,,,,,,,,,SPECI,68.0
KJAC 211603Z 21007KT 2SM -SN BR BKN006 OVC019 M01/M02 A2999 RMK AO2 VIS 1 1/4V2 1/2 CIG 004V010 P0000 $,KJAC,2018-03-21T16:03:00Z,43.62,-110.73,-1.0,-2.0,210,7,,2.0,29.991142,,,,TRUE,TRUE,,,,,-SN BR,BKN,600,OVC,1900,,,,,IFR,,,,,,0.005,,,,,,SPECI,1961.0
KOVE 211602Z AUTO 09004KT 3SM -RA BR BKN007 OVC011 12/12 A2986 RMK AO2 CIG 004V010 P0001 T01220117,KOVE,2018-03-21T16:02:00Z,39.5,-121.62,12.2,11.7,90,4,,3.0,29.861221,,,TRUE,TRUE,,,,,,-RA BR,BKN,700,OVC,1100,,,,,IFR,,,,,,0.01,,,,,,SPECI,58.0
CYXS 211602Z AUTO 36005KT 1 3/4SM SCT001 M02/ A2972 RMK TD MISG SLP097,CYXS,2018-03-21T16:02:00Z,53.9,-122.68,-2.0,,360,5,,1.75,29.719488,1009.7,,TRUE,,,,,,,,SCT,100,,,,,,,IFR,,,,,,,,,,,,SPECI,691.0
KGXY 211602Z AUTO 00000KT 10SM CLR 03/M04 A3004 RMK AO2,KGXY,2018-03-21T16:02:00Z,40.42,-104.62,3.0,-4.0,0,0,,10.0,30.041338,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1420.0
YGLA 211602Z AUTO 14009KT 5000 // SCT027 SCT037 BKN047 23/20 Q1011,YGLA,2018-03-21T16:02:00Z,-23.87,151.22,23.0,20.0,140,9,,3.11,29.852362,,,TRUE,,,,,,,,SCT,2700,SCT,3700,BKN,4700,,,MVFR,,,,,,,,,,,,SPECI,52.0
KIPT 211602Z 00000KT 1/2SM SN VV012 M02/M04 A2972 RMK AO2 P0000 T10171044,KIPT,2018-03-21T16:02:00Z,41.25,-76.92,-1.7,-4.4,0,0,,0.5,29.719488,,,,TRUE,,,,,,SN,OVX,0,,,,,,,LIFR,,,,,,0.005,,,,,1200,SPECI,164.0
KFIG 211602Z AUTO 00000KT 1SM -SN BR BKN010 OVC022 M02/M04 A2969 RMK AO2 P0000 T10171039,KFIG,2018-03-21T16:02:00Z,41.05,-78.42,-1.7,-3.9,0,0,,1.0,29.68996,,,TRUE,TRUE,,,,,,-SN BR,BKN,1000,OVC,2200,,,,,IFR,,,,,,0.005,,,,,,SPECI,462.0
KDYL 211602Z AUTO 02008KT 1 1/4SM -SN BR FEW006 OVC012 M01/M02 A2964 RMK AO2 P0000 T10111022,KDYL,2018-03-21T16:02:00Z,40.33,-75.12,-1.1,-2.2,20,8,,1.25,29.639763,,,TRUE,TRUE,,,,,,-SN BR,FEW,600,OVC,1200,,,,,IFR,,,,,,0.005,,,,,,SPECI,117.0
KDXR 211602Z 04009G19KT 1/2SM SN FZFG BKN016 OVC034 M02/M03 A2969 RMK AO2 P0001 T10171033,KDXR,2018-03-21T16:02:00Z,41.37,-73.48,-1.7,-3.3,40,9,19,0.5,29.68996,,,,TRUE,,,,,,SN FZFG,BKN,1600,OVC,3400,,,,,LIFR,,,,,,0.01,,,,,,SPECI,139.0
KATY 211602Z AUTO 17011KT 10SM FEW007 OVC019 M01/M02 A3007 RMK AO2 T10111022 PNO $,KATY,2018-03-21T16:02:00Z,44.9,-97.15,-1.1,-2.2,170,11,,10.0,30.070866,,,TRUE,TRUE,TRUE,,,,,,FEW,700,OVC,1900,,,,,MVFR,,,,,,,,,,,,SPECI,532.0
KAAT 211602Z AUTO 16007KT 10SM SCT030 OVC038 06/04 A2982 RMK AO2 T00610039,KAAT,2018-03-21T16:02:00Z,41.48,-120.57,6.1,3.9,160,7,,10.0,29.819881,,,TRUE,TRUE,,,,,,,SCT,3000,OVC,3800,,,,,VFR,,,,,,,,,,,,SPECI,1331.0
KSMX 211601Z 14011KT 2 1/2SM -RA BR BKN007 BKN040 OVC049 15/13 A2992 RMK AO2 VIS 2V3 P0001 T01500133,KSMX,2018-03-21T16:01:00Z,34.9,-120.45,15.0,13.3,140,11,,2.5,29.920275,,,,TRUE,,,,,,-RA BR,BKN,700,BKN,4000,OVC,4900,,,IFR,,,,,,0.01,,,,,,SPECI,74.0
KPKD 211601Z AUTO 14008KT 1 3/4SM -SN BR SCT011 BKN022 OVC029 M03/M06 A3011 RMK AO2 P0000 T10331056,KPKD,2018-03-21T16:01:00Z,46.9,-95.07,-3.3,-5.6,140,8,,1.75,30.109253,,,TRUE,TRUE,,,,,,-SN BR,SCT,1100,BKN,2200,OVC,2900,,,IFR,,,,,,0.005,,,,,,METAR,442.0
KMLF 211601Z AUTO 21020G25KT 10SM CLR 10/M03 A3001 RMK AO2 WSHFT 1547 T01001028,KMLF,2018-03-21T16:01:00Z,38.42,-113.02,10.0,-2.8,210,20,25,10.0,30.008858,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1534.0
KHQM 211601Z AUTO 09005KT 4SM BR BKN001 02/02 A2973 RMK AO2 T00220017,KHQM,2018-03-21T16:01:00Z,46.97,-123.93,2.2,1.7,90,5,,4.0,29.731298,,,TRUE,TRUE,,,,,,BR,BKN,100,,,,,,,LIFR,,,,,,,,,,,,SPECI,7.0
KHGR 211601Z 35011KT 1/4SM SN FZFG BKN006 OVC010 M01/M02 A2968 RMK AO2 P0000 T10061022,KHGR,2018-03-21T16:01:00Z,39.7,-77.73,-0.6,-2.2,350,11,,0.25,29.681103,,,,TRUE,,,,,,SN FZFG,BKN,600,OVC,1000,,,,,LIFR,,,,,,0.005,,,,,,METAR,224.0
PAMO 211601Z AUTO 1/4SM FZFG OVC002 M07/M08 A3060 RMK AO2 SLP371 T10721078 FZRANO $,PAMO,2018-03-21T16:01:00Z,62.1,-163.68,-7.2,-7.8,,,,0.25,30.59941,1037.1,,TRUE,TRUE,TRUE,,,TRUE,,FZFG,OVC,200,,,,,,,LIFR,,,,,,,,,,,,SPECI,103.0
PAIW 211601Z AUTO 15027G32KT 1 1/4SM -SN BR SCT007 BKN041 OVC049 M03/M04 A3044 RMK AO2 PK WND 15032/1559 P0000 FZRANO,PAIW,2018-03-21T16:01:00Z,65.62,-168.1,-3.0,-4.0,150,27,32,1.25,30.43996,,,TRUE,TRUE,,,,TRUE,,-SN BR,SCT,700,BKN,4100,OVC,4900,,,IFR,,,,,,0.005,,,,,,METAR,7.0
PAFS 211601Z AUTO 00000KT 9SM -SN SCT028 M08/M09 A3061 RMK AO2 P0000 FZRANO,PAFS,2018-03-21T16:01:00Z,63.02,-154.35,-8.0,-9.0,0,0,,9.0,30.611221,,,TRUE,TRUE,,,,TRUE,,-SN,SCT,2800,,,,,,,VFR,,,,,,0.005,,,,,,METAR,126.0
KDVP 211601Z AUTO 23009KT 10SM OVC017 00/M02 A3013 RMK AO2 T00031016,KDVP,2018-03-21T16:01:00Z,43.98,-95.78,0.3,-1.6,230,9,,10.0,30.129921,,,TRUE,TRUE,,,,,,,OVC,1700,,,,,,,MVFR,,,,,,,,,,,,METAR,495.0
MHAM 211600Z 04006KT 9999 SKC 31/22,MHAM,2018-03-21T16:00:00Z,13.27,-87.65,31.0,22.0,40,6,,6.21,,,,,,,,,,,,SKC,,,,,,,,VFR,,,,,,,,,,,,METAR,5.0
LFML 211600Z AUTO 32014KT 9999 FEW015 SCT170 BKN210 10/M02 Q1016 TEMPO 34015G25KT,LFML,2018-03-21T16:00:00Z,43.45,5.22,10.0,-2.0,320,14,,6.21,30.0,,,TRUE,,,,,,,,FEW,1500,SCT,17000,BKN,21000,,,VFR,,,,,,,,,,,,METAR,36.0
LFBM 211600Z AUTO 33014KT 310V010 CAVOK 11/M01 Q1027 NOSIG,LFBM,2018-03-21T16:00:00Z,43.92,-0.5,11.0,-1.0,330,14,,6.21,30.324802,,,TRUE,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,63.0
VOGO 211600Z 34009KT 6000 FEW100 28/21 Q1011 NOSIG,VOGO,2018-03-21T16:00:00Z,15.38,73.83,28.0,21.0,340,9,,3.73,29.852362,,,,,,TRUE,,,,,FEW,10000,,,,,,,MVFR,,,,,,,,,,,,METAR,52.0
VOGO 211600Z 34009KT 6000 FEW100 28/21 Q1011 NOSIG,VOGO,2018-03-21T16:00:00Z,15.38,73.83,28.0,21.0,340,9,,3.73,29.852362,,,,,,TRUE,,,,,FEW,10000,,,,,,,MVFR,,,,,,,,,,,,METAR,52.0
MHTG 211600Z 36012KT 9999 SCT028 26/13 Q1019 A3009 HZ NOSIG,MHTG,2018-03-21T16:00:00Z,14.07,-87.22,26.0,13.0,360,12,,6.21,30.088583,,,,,,TRUE,,,,HZ,SCT,2800,,,,,,,VFR,,,,,,,,,,,,METAR,1004.0
MHLM 211600Z 10002KT 9999 FEW026 29/25 Q1015 A2997 NOSIG,MHLM,2018-03-21T16:00:00Z,15.45,-87.93,29.0,25.0,100,2,,6.21,29.970472,,,,,,TRUE,,,,,FEW,2600,,,,,,,VFR,,,,,,,,,,,,METAR,26.0
MHLC 211600Z 21004KT 9999 SCT024TCU 29/24 Q1015 A2997 NOSIG,MHLC,2018-03-21T16:00:00Z,15.75,-86.85,29.0,24.0,210,4,,6.21,29.970472,,,,,,TRUE,,,,,SCT,2400,,,,,,,VFR,,,,,,,,,,,,METAR,15.0
MHRO 211600Z 25006KT 9999 FEW025 28/24 Q1014 A2995 NOSIG,MHRO,2018-03-21T16:00:00Z,16.32,-86.53,28.0,24.0,250,6,,6.21,29.940945,,,,,,TRUE,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,5.0
OSKL 211600Z 25008KT 7000 19/03 Q1016,OSKL,2018-03-21T16:00:00Z,37.03,41.2,19.0,3.0,250,8,,4.35,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,455.0
OSLK 211600Z 11007KT CAVOK 18/13 Q1019,OSLK,2018-03-21T16:00:00Z,35.4,35.95,18.0,13.0,110,7,,6.21,30.088583,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,SPECI,48.0
OSDI 211600Z 17004KT CAVOK 22/01 Q1018,OSDI,2018-03-21T16:00:00Z,33.42,36.52,22.0,1.0,170,4,,6.21,30.059055,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,SPECI,605.0
SBSP 211600Z 22007KT 170V290 9999 SCT023 BKN030 27/18 Q1017,SBSP,2018-03-21T16:00:00Z,-23.62,-46.63,27.0,18.0,220,7,,6.21,30.029528,,,,,,,,,,,SCT,2300,BKN,3000,,,,,MVFR,,,,,,,,,,,,METAR,803.0
SBSV 211600Z 08012KT 9999 SCT020 SCT070 30/23 Q1012,SBSV,2018-03-21T16:00:00Z,-12.9,-38.32,30.0,23.0,80,12,,6.21,29.88189,,,,,,,,,,,SCT,2000,SCT,7000,,,,,VFR,,,,,,,,,,,,METAR,6.0
GBYD 211600Z 27011KT CAVOK 34/15 Q1009,GBYD,2018-03-21T16:00:00Z,13.33,-16.65,34.0,15.0,270,11,,6.21,29.793306,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,36.0
OJAM 211600Z 32006KT 5000 HZ NSC 20/M00 Q1020 NOSIG,OJAM,2018-03-21T16:00:00Z,31.97,35.97,20.0,0.0,320,6,,3.11,30.11811,,,,,,TRUE,,,,HZ,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,773.0
SBRF 211600Z 11010KT 9999 FEW025 SCT060 29/22 Q1012,SBRF,2018-03-21T16:00:00Z,-8.13,-34.92,29.0,22.0,110,10,,6.21,29.88189,,,,,,,,,,,FEW,2500,SCT,6000,,,,,VFR,,,,,,,,,,,,METAR,19.0
SBPV 211600Z 17003KT 9999 SCT009 BKN025 28/24 Q1012,SBPV,2018-03-21T16:00:00Z,-8.72,-63.9,28.0,24.0,170,3,,6.21,29.88189,,,,,,,,,,,SCT,900,BKN,2500,,,,,MVFR,,,,,,,,,,,,METAR,88.0
SBBV 211600Z 08012KT 9999 BKN040 SCT050 34/21 Q1011,SBBV,2018-03-21T16:00:00Z,2.85,-60.7,34.0,21.0,80,12,,6.21,29.852362,,,,,,,,,,,BKN,4000,SCT,5000,,,,,VFR,,,,,,,,,,,,METAR,140.0
BIIS 211600Z 21005G15KT 9999 FEW020 SCT025 BKN030 06/00 Q0999,BIIS,2018-03-21T16:00:00Z,66.05,-23.13,6.0,0.0,210,5,15,6.21,29.498032,,,,,,,,,,,FEW,2000,SCT,2500,BKN,3000,,,MVFR,,,,,,,,,,,,METAR,3.0
NFNA 211600Z 00000KT 9999 FEW020 24/24 Q1005,NFNA,2018-03-21T16:00:00Z,-18.05,178.57,24.0,24.0,0,0,,6.21,29.675198,,,,,,,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,5.0
SBAR 211600Z 08013KT 9999 SCT017 31/23 Q1012,SBAR,2018-03-21T16:00:00Z,-10.97,-37.07,31.0,23.0,80,13,,6.21,29.88189,,,,,,,,,,,SCT,1700,,,,,,,VFR,,,,,,,,,,,,METAR,9.0
SCEL 211600Z VRB04KT CAVOK 25/07 Q1012 NOSIG,SCEL,2018-03-21T16:00:00Z,-33.37,-70.77,25.0,7.0,0,4,,6.21,29.88189,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,476.0
MROC 211600Z 11010G20KT 090V150 CAVOK 27/14 A3001 NOSIG,MROC,2018-03-21T16:00:00Z,10.0,-84.22,27.0,14.0,110,10,20,6.21,30.008858,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,920.0
SUMU 211600Z 17013KT 9999 FEW026 20/07 Q1020 NOSIG,SUMU,2018-03-21T16:00:00Z,-34.82,-56.0,20.0,7.0,170,13,,6.21,30.11811,,,,,,TRUE,,,,,FEW,2600,,,,,,,VFR,,,,,,,,,,,,METAR,32.0
SBSL 211600Z 05009KT 9999 BKN020 32/24 Q1010,SBSL,2018-03-21T16:00:00Z,-2.6,-44.22,32.0,24.0,50,9,,6.21,29.822834,,,,,,,,,,,BKN,2000,,,,,,,MVFR,,,,,,,,,,,,METAR,53.0
TKPN 211600Z 11013KT 9999 SCT022 30/21 Q1017,TKPN,2018-03-21T16:00:00Z,17.18,-62.57,30.0,21.0,110,13,,6.21,30.029528,,,,,,,,,,,SCT,2200,,,,,,,VFR,,,,,,,,,,,,METAR,17.0
SBPS 211600Z 07016KT 9999 SCT030 31/24 Q1012,SBPS,2018-03-21T16:00:00Z,-16.43,-39.07,31.0,24.0,70,16,,6.21,29.88189,,,,,,,,,,,SCT,3000,,,,,,,VFR,,,,,,,,,,,,METAR,51.0
ZMUB 211600Z VRB02MPS CAVOK M04/M07 Q1016 NOSIG RMK QFE654.7 82,ZMUB,2018-03-21T16:00:00Z,47.83,106.78,-4.0,-7.0,0,4,,6.21,30.0,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,1330.0
GVAC 211600Z 05018KT 7000 BKN014 24/15 Q1016 NOSIG,GVAC,2018-03-21T16:00:00Z,16.72,-22.93,24.0,15.0,50,18,,4.35,30.0,,,,,,TRUE,,,,,BKN,1400,,,,,,,MVFR,,,,,,,,,,,,METAR,55.0
MWCB 211600Z 05003KT 9999 SCT018TCU 28/23 Q1017,MWCB,2018-03-21T16:00:00Z,19.68,-79.88,28.0,23.0,50,3,,6.21,30.029528,,,,,,,,,,,SCT,1800,,,,,,,VFR,,,,,,,,,,,,METAR,2.0
